2024-11-18T18:19:15.416+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":11},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1bitdepth,8\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:15.514+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":12},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1bitdepth,8\n\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:16.164+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":13},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1bitdepth,8\nmonitor=,1920x1080,auto,1,\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:17.386+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":14},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\nmonitor=,1920x1080,auto,1,\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:18.003+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":15},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\nmonitor=,1920x1080,auto,1,bitdepth,8\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:22.976+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":16},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\n\nmonitor=,preferred,auto,1,mirror,eDP-1,bitdepth,8\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:26.337+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":18},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\n\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:19:26.832+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":19},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:20:23.150+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":20},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\n# xwayland {\n# \tforce_zero_scaling = true\n# }"}]}}
2024-11-18T18:20:31.994+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/conf/monitors/1366x768.conf","version":21},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"# ----------------------------------------------------- \n# Monitor Setup\n# name: \"1366x768\"\n# ----------------------------------------------------- \n\nmonitor=,1366x768,auto,1\nxwayland {\n\tforce_zero_scaling = true\n}"}]}}
2024-11-18T18:20:45.993+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":3},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1366x7682560x1440.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:20:47.148+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":4},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/1366x768.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
2024-11-18T18:20:51.913+0545	DEBUG	hyprls@v0.2.0/sync.go:13	LSP:DidChange	{"params": {"textDocument":{"uri":"file:///home/manish-ach/dotfiles/.config/hypr/hyprland.conf","version":5},"contentChanges":[{"range":{"start":{"line":0,"character":0},"end":{"line":0,"character":0}},"text":"################\n### MONITORS ###\n################\nsource = ~/.config/hypr/conf/monitors/2560x1440.conf\n\n\n###################\n### MY PROGRAMS ###\n###################\nsource = ~/.config/hypr/conf/program.conf\n\n\n#############################\n### ENVIRONMENT VARIABLES ###\n#############################\nsource = ~/.config/hypr/conf/environment.conf\n\n\n#####################\n### LOOK AND FEEL ###\n#####################\nsource = ~/.config/hypr/conf/look.conf\n\n\n#####################\n###  ANIMATIONS###\n#####################\nsource = ~/.config/hypr/conf/animation.conf\n\n\n#############\n### INPUT ###\n#############\nsource = ~/.config/hypr/conf/input.conf\n\n\n###################\n### KEYBINDINGS ###\n###################\nsource = ~/.config/hypr/conf/keybinding.conf\n\n\n##############################\n### WINDOWS AND WORKSPACES ###\n##############################\nsource = ~/.config/hypr/conf/window.conf\n\n"}]}}
